"","ID","Overall.Rating","Program.Expenses","Administrative.Expenses","Fundraising.Expenses","Fundraising.Efficiency","Working.Capital.Ratio..years.","Program.Expenses.Growth","Liabilities.to.Assets","Independent.Voting.Board.Members","No.Material.diversion.of.assets","Audited.financials.prepared.by.independent.accountant","Does.Not.Provide.Loan.s..to.or.Receive.Loan.s..From.related.parties","Documents.Board.Meeting.Minutes","Provided.copy.of.Form.990.to.organization.s.governing.body.in.advance.of.filing","Conflict.of.Interest.Policy","Whistleblower.Policy","Records.Retention.and.Destruction.Policy","CEO.listed.with.salary","Process.for.determining.CEO.compensation","Board.Listed...Board.Members.Not.Compensated","Donor.Privacy.Policy","Board.Members.Listed","Audited.Financials","Form.990","Key.staff.listed","reg_prediction","reg_error"
"3158",3548,85.72,0.669,0.141,0.188,0.12,4.48,0.038,0.032,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,83.3043304363485,2.41566956365146
"3159",3549,82.6,0.725,0.165,0.109,0.18,0.82,-0.006,0.04,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,85.6733628417915,-3.07336284179152
"3160",3550,75.31,0.802,0.118,0.079,0.09,1.15,-0.115,0.087,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,74.520180031435,0.789819968564956
"3161",3553,84.81,0.961,0.015,0.023,0.02,0.2,0.15,0.219,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,89.7902088421348,-4.98020884213483
"3162",3554,76.6,0.562,0.276,0.16,0.16,0.36,0.085,0.139,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,77.114293068933,-0.514293068932972
"3163",3556,79.52,0.701,0.125,0.172,0.2,0.89,0.011,0.032,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,82.5304255216626,-3.0104255216626
"3164",3557,70.94,0.649,0.267,0.083,0.08,0.13,-0.106,0.476,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,75.7226570270279,-4.78265702702791
"3165",3558,91.54,0.787,0.142,0.069,0.07,1.66,0.051,0.032,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,88.5494705088176,2.99052949118237
"3166",3559,90.41,0.794,0.134,0.071,0.08,1.15,-0.069,0.039,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,87.7925513481854,2.6174486518146
"3167",3560,80.53,0.775,0.095,0.129,0.2,0.15,-0.01,0.148,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,84.7802376825858,-4.25023768258578
"3168",3561,88.11,0.79,0.061,0.148,0.13,2.42,0.024,0.101,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89.8946959946321,-1.78469599463213
"3169",3562,85.43,0.853,0.062,0.084,0.08,0.13,0.076,0.377,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,80.5933496081358,4.83665039186421
"3170",3563,82.33,0.793,0.137,0.069,0.07,0.53,0.069,0.12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,78.1960283217833,4.13397167821674
"3171",3564,79.72,0.776,0.107,0.115,0.16,1.57,-0.035,0.017,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,78.4068382364934,1.31316176350663
"3172",3565,90.23,0.842,0.079,0.077,0.08,11.42,0.061,0.092,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,94.4363999671542,-4.20639996715423
"3173",3568,95.01,0.714,0.092,0.193,0.16,2.25,0.045,0.018,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,86.0751356628692,8.93486433713085
"3174",3569,81.76,0.769,0.109,0.121,0.75,4.55,-0.051,0.039,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,77.1594935418724,4.60050645812765
"3175",3570,26.17,0.226,0.746,0.027,0.05,8.9,-0.137,0.013,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,62.6324930774727,-36.4624930774727
"3176",3571,88.54,0.78,0.123,0.095,0.08,4.82,0.084,0.059,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,86.0460056385287,2.49399436147132
"3177",3572,73.4,0.684,0.261,0.054,0.11,0.52,-0.038,0.1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,75.9872083036108,-2.58720830361078
"3178",3573,91.35,0.794,0.101,0.103,0.16,3.81,0.091,0.068,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,88.1572980970572,3.1927019029428
"3179",3574,97.12,0.824,0.126,0.049,0.07,1.11,0.299,0.048,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,94.3461080574968,2.77389194250317
"3180",3575,96.66,0.854,0.079,0.066,0.08,1.26,0.132,0.139,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,93.3055220147637,3.3544779852363
"3181",3577,94.89,0.788,0.148,0.062,0.07,1.81,0.163,0.082,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,91.4961343815133,3.39386561848674
"3182",3579,85.28,0.748,0.143,0.108,0.1,0.9,-0.051,0.023,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,87.8227334940503,-2.54273349405034
"3183",3580,83.74,0.831,0.047,0.12,0.1,0.39,0.029,0.256,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,88.8884767497638,-5.14847674976377
"3184",3582,80.13,0.753,0.135,0.11,0.12,0.23,0.005,0.315,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,84.8657579117896,-4.73575791178959
"3185",3583,93.84,0.882,0.081,0.035,0.03,0.77,0.028,0.018,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,95.7155009706407,-1.87550097064069
"3186",3584,85.54,0.747,0.223,0.028,0.02,2.61,0.083,0.012,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,82.9838632899499,2.5561367100501
"3187",3585,87.34,0.951,0.027,0.021,0.02,0.14,0.001,0.235,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,95.4342094450662,-8.09420944506618
"3188",3586,86.53,0.79,0.066,0.143,0.13,0.76,0.16,0.109,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,83.0142313013618,3.51576869863817
"3189",3587,92.06,0.833,0.076,0.089,0.1,0.26,0.206,0.103,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,92.7325864600194,-0.67258646001936
"3190",3588,90.36,0.744,0.181,0.073,0.08,2.15,0.153,0.057,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,88.404205079269,1.95579492073099
"3191",3589,80.71,0.603,0.359,0.037,0.05,1.03,0.289,0.108,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,81.7735153662056,-1.06351536620556
"3192",3590,89.74,0.794,0.098,0.106,0.09,1.42,0.01,0.022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,88.6188155967089,1.12118440329111
"3193",3592,77.93,0.899,0.06,0.039,0.04,0.58,0.069,0.003,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,81.9164325633519,-3.9864325633519
"3194",3593,89.48,0.939,0.045,0.014,0.05,2.24,-0.254,0.012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,89.7642643009093,-0.2842643009093
"3195",3594,95.83,0.819,0.125,0.055,0.04,1.43,0.291,0.207,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,95.4540516425547,0.375948357445282
"3196",3595,88.24,0.793,0.145,0.061,0.05,0.63,-0.087,0.072,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90.3021840315067,-2.0621840315067
"3197",3597,86.73,0.843,0.082,0.073,0.09,0.19,0.15,0.574,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,85.7441068463432,0.985893153656846
"3198",3598,81.67,0.784,0.103,0.112,0.11,0.28,0.028,0.326,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,82.3216986394246,-0.651698639424623
"3199",3599,83.86,0.748,0.174,0.076,0.17,2.14,-0.019,0.116,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,84.5718673895415,-0.711867389541524
"3200",3600,98.23,0.875,0.049,0.075,0.08,0.85,0.104,0.195,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,93.8147293237305,4.41527067626946
"3201",3601,83.62,0.652,0.132,0.215,0.3,0.56,0.104,0.214,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,82.7565106783459,0.863489321654129
"3202",3603,87.18,0.844,0.098,0.057,0.05,0.32,-0.005,0.127,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,91.4077485368482,-4.22774853684824
"3203",3604,93.32,0.864,0.07,0.064,0.06,0.44,0.188,0.001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,92.1217880585479,1.1982119414521
"3204",3605,96.46,0.886,0.061,0.051,0.05,0.84,0.119,0.182,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,95.1097743382062,1.35022566179377
"3205",3606,86.19,0.859,0.058,0.082,0.07,0.44,0.173,0.731,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,83.4949545782523,2.69504542174766
"3206",3607,92.13,0.867,0.044,0.088,0.03,5,0.063,0.016,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,92.1388555918871,-0.00885559188709806
"3207",3608,87.66,0.75,0.107,0.142,0.13,1.2,-0.051,0.248,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,86.0107525764495,1.64924742355052
"3208",3609,84.7,0.841,0.056,0.101,0.09,0.38,0.028,0.035,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,84.0325442137909,0.667455786209089
"3209",3610,89.49,0.799,0.079,0.121,0.12,3.95,0.016,0.009,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,91.7513032023376,-2.26130320233757
"3210",3611,94.75,0.88,0.029,0.09,0.09,1.18,-0.043,0.103,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,91.5228463213132,3.22715367868682
"3211",3613,84.17,0.794,0.141,0.063,0.06,1.35,-0.112,0.004,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,84.3982182451443,-0.228218245144291
"3212",3614,84.88,0.769,0.066,0.164,0.21,0.34,0.204,0.227,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,86.4256864531112,-1.54568645311117
"3213",3616,83.45,0.686,0.185,0.127,0.08,1.28,0.04,0.017,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,79.3470007558993,4.10299924410069
"3214",3618,90.5,0.748,0.118,0.133,0.28,1.46,0.08,0.043,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,85.6971833327935,4.80281666720651
"3215",3619,86.37,0.806,0.087,0.105,0.11,0.27,0.064,0.328,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,88.0041813307219,-1.6341813307219
"3216",3620,92.38,0.882,0.05,0.067,0.06,0.7,0.08,0.533,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,88.2210047604476,4.15899523955241
"3217",3621,77.83,0.872,0.099,0.027,0.02,0.2,-0.146,0.128,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,81.8619228332592,-4.03192283325922
"3218",3622,78.78,0.9,0.069,0.03,0.04,3.11,0.076,0.011,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,82.1961297370208,-3.41612973702077
"3219",3623,89.39,0.909,0.049,0.04,0.04,0.58,-0.097,0.056,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,94.1788001819519,-4.78880018195193
"3220",3624,85.98,0.904,0.072,0.023,0.04,0.11,0.05,0.079,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,86.9424721034255,-0.962472103425526
"3221",3625,98.23,0.881,0.062,0.055,0.04,0.66,0.159,0.043,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,96.8949968942355,1.3350031057645
"3222",3627,92.91,0.749,0.114,0.135,0.11,11.09,0.069,0.027,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,92.2650298270273,0.644970172972734
"3223",3628,89.65,0.688,0.2,0.111,0.1,9.46,0.11,0.101,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90.3624163364397,-0.712416336439702
"3224",3629,78.98,0.619,0.232,0.147,0.25,1.87,-0.005,0.015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,80.0582698491256,-1.07826984912562
"3225",3630,84.01,0.756,0.052,0.19,0.19,0.79,0.018,0.122,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,86.0254494490183,-2.01544944901831
"3226",3632,87.89,0.82,0.143,0.036,0.07,2.64,0.007,0.221,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,88.2312093116645,-0.341209311664457
"3227",3633,85.77,0.731,0.09,0.177,0.26,3.21,0.102,0.022,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,83.4132986772537,2.35670132274626
"3228",3634,91.55,0.902,0.04,0.057,0.05,0.18,0.072,0.033,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,95.130419971171,-3.58041997117098
"3229",3635,81.57,0.811,0.072,0.116,0.15,0.38,-0.117,0.188,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,83.6506466440887,-2.08064664408873
"3230",3637,63.05,0.543,0.098,0.358,0.39,0.02,-0.11,0.92,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,62.7404335134594,0.309566486540582
"3231",3638,97.16,0.884,0.055,0.059,0.06,1.9,0.06,0.001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,96.0101403963948,1.14985960360524
"3232",3640,94.74,0.859,0.103,0.037,0.02,3.86,0.63,0.002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,101.631346335495,-6.89134633549499
"3233",3641,88.42,0.776,0.113,0.109,0.12,0.67,0.091,0.163,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,86.2410767462222,2.1789232537778
"3234",3642,91.61,0.785,0.115,0.099,0.13,0.45,0.256,0.074,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,93.5317725397929,-1.92177253979285
"3235",3643,98.23,0.943,0.024,0.031,0.03,0.54,0.183,0.028,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,99.6454997838882,-1.41549978388815
"3236",3644,84.88,0.802,0.075,0.121,0.17,1.98,-0.021,0.161,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,88.9040782823631,-4.02407828236312
"3237",3645,83.22,0.783,0.055,0.16,0.21,0.54,0.093,0.44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,83.1731525670216,0.0468474329783959
"3238",3646,83.59,0.748,0.177,0.074,0.09,0.56,-0.175,0.18,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,77.2360605753913,6.3539394246087
"3239",3647,74.83,0.763,0.122,0.113,0.15,3.19,-0.139,0.013,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,73.2448463406312,1.58515365936879
"3240",3649,83.29,0.7,0.167,0.131,0.12,2.76,0.064,0.007,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,81.3217701958004,1.96822980419965
"3241",3650,76.01,0.858,0.103,0.037,0.18,5.08,0.052,0.138,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,77.4922034135997,-1.48220341359971
"3242",3651,91.57,0.868,0.103,0.028,0.03,0.73,0.035,0.174,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,92.916483110003,-1.34648311000296
"3243",3652,93.9,0.849,0.096,0.053,0.05,1.7,0.171,0.194,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,91.9796075812767,1.92039241872331
"3244",3653,83.27,0.808,0.132,0.059,0.21,1.97,0.071,0.088,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,80.4156919479157,2.85430805208425
"3245",3654,89.31,0.777,0.097,0.125,0.11,1.04,0.005,0.093,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,88.4971340729585,0.812865927041472
"3246",3655,90.91,0.84,0.059,0.099,0.11,1.16,0.057,0.415,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,86.6496805941288,4.26031940587124
"3247",3656,94.62,0.799,0.147,0.053,0.07,0.9,0.179,0.118,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,91.7466007916311,2.87339920836888
"3248",3658,85.16,0.774,0.031,0.193,0.18,2.86,0.014,0.167,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,86.5724357493088,-1.41243574930883
"3249",3659,69.83,0.863,0.072,0.064,0.14,3.38,0.125,0.076,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,76.182963590812,-6.35296359081204
"3250",3660,93.81,0.909,0.026,0.064,0.14,3.2,0.098,0.062,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,93.3177403229801,0.492259677019902
"3251",3661,64.73,0.536,0.055,0.407,0.4,0.06,0.287,0.068,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,65.6874639967853,-0.957463996785322
"3252",3662,78.14,0.714,0.073,0.212,0.18,0.65,-0.035,0.091,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,81.2957744487973,-3.15577444879729
"3253",3663,91.15,0.864,0.068,0.066,0.06,0.66,0.025,0.066,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,93.9151941001511,-2.76519410015112
